input,inputLength,LongestChainBacktrackingSolverTime,LongestChainBacktrackingSolverResult,LongestChainBacktrackingSolverResultLength,LongestChainBFSSolverTime,LongestChainBFSSolverResult,LongestChainBFSSolverResultLength
"[[5|2], [2|1], [6|0], [4|4], [1|1], [5|4], [0|0], [1|0], [4|0], [6|2], [4|2], [5|3], [6|1], [3|3], [5|1], [2|0], [6|6]]",17,2145,[6|6][6|2][2|5][5|4][4|4][4|0][0|6][6|1][1|1][1|2][2|0][0|0][0|1][1|5][5|3][3|3],16,277,[6|2][2|1][1|0][0|0][0|4][4|4][4|5][5|2][2|0][0|6][6|6][6|1][1|1][1|5][5|3][3|3],16
"[[6|6], [3|0], [1|0], [3|1], [3|2], [4|2], [6|4], [5|1], [2|0], [5|5], [2|2], [4|3], [4|0], [6|2], [1|1], [5|0], [6|0], [3|3]]",18,1030,[6|6][6|4][4|2][2|6][6|0][0|4][4|3][3|3][3|2][2|2][2|0][0|5][5|5][5|1][1|0][0|3][3|1][1|1],18,1469,[1|3][3|0][0|5][5|5][5|1][1|1][1|0][0|2][2|2][2|3][3|3][3|4][4|0][0|6][6|6][6|2][2|4][4|6],18
"[[3|2], [1|0], [2|2], [4|4], [2|1], [3|3], [6|1], [1|1], [5|4], [6|4], [5|2], [4|2], [5|1], [5|5], [6|5], [4|1], [3|1], [6|3]]",18,4245,[3|3][3|6][6|5][5|5][5|4][4|4][4|6][6|1][1|5][5|2][2|4][4|1][1|3][3|2][2|2][2|1][1|1][1|0],18,2801,[0|1][1|4][4|4][4|5][5|5][5|2][2|2][2|1][1|1][1|6][6|3][3|3][3|1][1|5][5|6][6|4][4|2][2|3],18
"[[3|2], [6|2], [1|0], [4|4], [1|1], [2|1], [5|1], [4|0], [5|0], [5|2], [3|0], [5|4], [6|5], [6|0], [0|0], [5|3], [6|3], [6|4]]",18,38538,[1|5][5|6][6|3][3|5][5|2][2|6][6|0][0|5][5|4][4|4][4|0][0|3][3|2][2|1][1|1][1|0][0|0],17,3295,[4|5][5|2][2|6][6|4][4|4][4|0][0|3][3|2][2|1][1|1][1|0][0|0][0|5][5|3][3|6][6|5][5|1],17
"[[6|4], [2|1], [5|4], [1|1], [4|2], [3|3], [5|3], [5|1], [3|1], [3|2], [6|6], [4|1], [1|0], [4|0], [5|5], [0|0], [6|3], [6|0]]",18,8694,[6|6][6|4][4|5][5|5][5|3][3|3][3|6][6|0][0|4][4|1][1|3][3|2][2|1][1|1][1|0][0|0],16,1623,[0|1][1|4][4|5][5|3][3|3][3|2][2|4][4|0][0|0][0|6][6|6][6|3][3|1][1|1][1|5][5|5],16
"[[5|2], [0|0], [5|0], [4|2], [3|0], [6|5], [2|0], [1|0], [1|1], [6|3], [5|4], [6|2], [4|3], [2|2], [6|4], [4|4], [4|0], [6|1]]",18,37129,[4|2][2|2][2|5][5|6][6|4][4|3][3|0][0|2][2|6][6|1][1|1][1|0][0|0][0|5][5|4][4|4][4|0],17,2426,[3|0][0|1][1|1][1|6][6|3][3|4][4|2][2|2][2|0][0|5][5|2][2|6][6|5][5|4][4|4][4|0][0|0],17
"[[4|2], [1|1], [3|2], [6|2], [4|3], [3|3], [1|0], [4|0], [3|0], [0|0], [6|0], [5|4], [2|2], [5|0], [4|4], [6|6], [4|1], [5|3]]",18,11655,[2|6][6|6][6|0][0|5][5|3][3|3][3|4][4|4][4|2][2|2][2|3][3|0][0|4][4|1][1|1][1|0][0|0],17,1410,[4|4][4|5][5|3][3|2][2|2][2|6][6|6][6|0][0|4][4|3][3|3][3|0][0|0][0|1][1|1][1|4][4|2],17
"[[4|2], [0|0], [2|0], [3|1], [4|1], [6|0], [2|1], [3|0], [5|0], [6|1], [5|5], [4|0], [5|4], [3|2], [2|2], [5|3], [4|4], [5|1]]",18,1,[0|6][6|1][1|5][5|5][5|4][4|4][4|2][2|2][2|3][3|5][5|0][0|4][4|1][1|3][3|0][0|0][0|2][2|1],18,3434,[0|2][2|1][1|3][3|5][5|5][5|0][0|4][4|4][4|1][1|6][6|0][0|0][0|3][3|2][2|2][2|4][4|5][5|1],18
"[[4|2], [1|0], [4|3], [3|0], [6|5], [6|3], [5|2], [4|1], [5|3], [4|4], [5|4], [3|2], [6|6], [6|2], [3|3], [5|0], [6|4], [4|0]]",18,2163,[5|6][6|6][6|4][4|4][4|5][5|2][2|6][6|3][3|0][0|5][5|3][3|2][2|4][4|1][1|0][0|4][4|3][3|3],18,2820,[3|3][3|6][6|4][4|3][3|2][2|4][4|5][5|3][3|0][0|4][4|4][4|1][1|0][0|5][5|6][6|6][6|2][2|5],18
"[[5|5], [4|0], [2|2], [4|2], [3|3], [1|0], [0|0], [1|1], [6|5], [5|3], [5|0], [5|2], [3|1], [6|2], [6|6], [6|4], [6|3], [5|4]]",18,6797,[0|4][4|6][6|6][6|5][5|5][5|4][4|2][2|2][2|6][6|3][3|1][1|1][1|0][0|0][0|5][5|3][3|3],17,795,[2|6][6|6][6|4][4|0][0|0][0|5][5|5][5|2][2|2][2|4][4|5][5|6][6|3][3|3][3|1][1|1][1|0],17
"[[6|1], [4|3], [3|0], [4|4], [5|0], [1|0], [4|1], [6|6], [6|2], [5|5], [3|2], [6|5], [4|2], [2|1], [1|1], [5|1], [5|3], [5|4]]",18,25595,[5|5][5|4][4|4][4|3][3|5][5|6][6|6][6|2][2|4][4|1][1|5][5|0][0|3][3|2][2|1][1|1][1|0],17,2971,[1|4][4|2][2|1][1|0][0|5][5|1][1|1][1|6][6|6][6|2][2|3][3|4][4|4][4|5][5|5][5|3][3|0],17
"[[4|1], [6|1], [5|1], [2|1], [4|3], [3|1], [4|0], [4|4], [5|3], [2|0], [1|0], [2|2], [4|2], [3|3], [6|5], [1|1], [5|4], [0|0], [5|0]]",19,112524,[2|2][2|4][4|4][4|1][1|6][6|5][5|3][3|1][1|5][5|0][0|2][2|1][1|1][1|0][0|0][0|4][4|3][3|3],18,14570,[2|1][1|6][6|5][5|0][0|0][0|4][4|4][4|2][2|2][2|0][0|1][1|1][1|5][5|4][4|1][1|3][3|3][3|5],18
"[[3|2], [2|1], [5|2], [1|0], [5|5], [6|6], [4|2], [4|4], [3|0], [4|0], [2|2], [6|5], [5|1], [2|0], [3|3], [4|3], [5|4], [6|4], [6|2]]",19,72905,[3|3][3|4][4|4][4|5][5|5][5|6][6|6][6|2][2|4][4|0][0|3][3|2][2|2][2|5][5|1][1|0][0|2][2|1],18,6490,[1|2][2|3][3|3][3|0][0|1][1|5][5|5][5|4][4|0][0|2][2|2][2|4][4|4][4|6][6|6][6|5][5|2][2|6],18
